date,open,high,low,close,volume
2019-01-16,183.08,188.3,180.5,184.94,2347343.0
2019-01-17,185.9,188.5,183.5,185.8,1636512.0
2019-01-18,186.29,194.44,186.29,193.35,2208405.0
2019-01-21,193.35,195.89,190.5,191.5,1996341.0
2019-01-22,191.81,191.81,186.38,187.51,1199238.0
2019-01-23,186.49,189.4,186.02,188.5,889654.0
2019-01-24,188.38,190.5,182.0,189.2,1441648.0
2019-01-25,187.8,191.85,187.18,190.0,1178307.0
2019-01-28,190.0,192.97,184.8,187.0,1432467.0
2019-01-29,185.2,189.68,185.19,186.88,1364537.0
2019-01-30,186.46,189.28,183.33,184.18,996545.0
2019-01-31,185.08,186.99,183.38,185.87,1089709.0
2019-02-01,186.0,195.8,186.0,194.69,2091468.0
2019-02-02,445.11782479459134,453.77133580558143,439.8242850425975,448.36011492628893,1988759.9037836841
2019-02-03,443.61238012103314,452.24372623745194,438.3211314808347,446.8278827493381,1990460.22687588
2019-02-11,193.77,204.87,193.7,202.23,2166194.0
2019-02-12,201.64,207.74,201.11,206.85,1773423.0
2019-02-13,207.99,213.88,206.61,212.0,2058930.0
2019-02-14,210.1,213.0,208.52,210.14,1348813.0
2019-02-15,211.29,212.99,206.04,206.84,1529991.0
2019-02-18,208.5,218.0,208.5,216.49,1753041.0
2019-02-19,216.4,218.66,209.11,209.7,1987615.0
2019-02-20,210.4,213.0,206.01,208.74,1798669.0
2019-02-21,208.5,211.87,205.5,205.5,1887391.0
2019-02-22,205.41,226.05,205.3,226.05,3832848.0
2019-02-25,415.6366019100137,423.8227822265353,410.3799536631299,418.34785838091403,1996703.1580309737
2019-02-26,414.5722496259518,422.74008549476275,409.3165805284694,417.2640489865089,1996710.004259559
2019-02-27,413.523821976159,421.6734732016785,408.26908993110624,416.1964331370194,1996715.3908937073
2019-02-28,412.4910806993187,420.6227063984059,407.23724464952073,415.14476887948024,1996719.6291143692
2019-03-01,411.4737910989341,419.58754968586976,406.22081100533296,414.10881787602295,1996722.963759694
2019-03-04,408.51233774936355,416.5734382469782,403.2616951546475,411.09291410925266,1996729.2760433108
2019-03-05,407.55457733614526,415.5984370732952,402.3046403033516,410.11750317174443,1996730.5539936766
2019-03-06,406.6111467501151,414.6379204234304,401.36188001985687,409.15666616292634,1996731.5594890371
2019-03-07,248.66,248.66,248.66,248.66,404378.0
2019-03-08,273.53,273.53,273.53,273.53,363973.0
2019-03-11,288.22,290.0,260.0,285.46,11857148.0
2019-03-12,282.01,288.0,275.4,278.99,4393092.0
2019-03-13,278.5,278.6,265.51,271.92,3846265.0
2019-03-14,274.0,284.49,271.99,280.0,3593079.0
2019-03-15,279.97,292.9,275.0,288.99,2987444.0
2019-03-18,288.57,302.8,288.5,302.0,4345223.0
2019-03-19,297.95,299.99,291.4,293.99,2415615.0
2019-03-20,292.0,293.0,283.03,288.75,2070238.0
2019-03-21,288.19,297.26,285.98,295.2,2213723.0
2019-03-22,292.1,298.63,286.0,295.3,1540988.0
2019-03-25,289.0,303.33,288.02,291.3,1891496.0
2019-03-26,291.58,296.7,283.1,284.9,1584525.0
2019-03-27,300.17,309.8,296.18,306.52,4228580.0
2019-03-28,304.0,311.94,302.7,306.99,2176246.0
2019-03-29,305.93,319.0,305.08,316.99,2645504.0
2019-04-01,314.0,324.9,314.0,323.09,2645921.0
2019-04-02,324.0,324.0,309.02,311.12,2649914.0
2019-04-03,311.0,314.0,305.0,309.29,1977874.0
2019-04-04,308.99,311.0,304.5,308.49,1613242.0
2019-04-08,308.49,311.89,304.11,307.88,2057379.0
2019-04-09,308.6,308.88,303.5,306.0,1439519.0
2019-04-10,307.14,316.27,303.8,313.49,2283592.0
2019-04-11,315.0,315.0,301.51,302.95,1711919.0
2019-04-12,301.32,304.87,295.0,297.51,1639699.0
2019-04-15,300.8,309.02,297.77,299.71,2086111.0
2019-04-16,299.64,303.43,295.06,303.38,1882705.0
2019-04-17,300.0,304.43,297.38,299.79,1241811.0
2019-04-18,302.1,310.0,300.0,309.51,1862861.0
2019-04-19,313.01,318.36,305.05,311.25,1898608.0
2019-04-22,311.0,311.2,299.1,299.8,2025140.0
2019-04-23,299.68,303.6,298.8,299.85,1040165.0
2019-04-24,301.0,304.9,298.5,304.0,1330495.0
2019-04-25,302.1,307.98,300.5,302.0,1066629.0
2019-04-26,300.38,305.98,296.56,303.2,1109587.0
2019-04-28,372.43641830688637,379.7561730608235,367.1903860278117,374.33438631201636,1996735.2702590406
2019-04-29,302.0,315.85,302.0,310.12,2056249.0
2019-04-30,310.12,313.08,302.21,304.01,1565252.0
2019-05-05,369.63853034704715,376.8901230618883,364.3903113633421,371.4815006307051,1996735.2702681744
2019-05-06,296.0,298.66,288.11,290.5,1983313.0
2019-05-07,291.02,300.87,291.02,295.21,1895897.0
2019-05-08,290.0,300.38,289.0,295.03,1742245.0
2019-05-09,295.0,299.48,280.12,281.03,2522939.0
2019-05-10,286.0,296.32,284.0,295.87,2224336.0
2019-05-13,294.17,301.5,293.63,297.3,1360045.0
2019-05-14,294.85,304.0,293.13,299.09,1405852.0
2019-05-15,301.53,311.16,301.34,310.38,1946945.0
2019-05-16,309.0,321.4,306.67,318.78,1711674.0
2019-05-17,316.96,317.0,304.68,306.5,1567416.0
2019-05-20,306.0,307.0,293.9,296.48,1561940.0
2019-05-21,297.05,305.8,294.0,305.8,1645333.0
2019-05-22,305.77,309.9,299.02,306.0,1159571.0
2019-05-23,305.01,307.68,299.76,300.1,984995.0
2019-05-24,300.0,303.9,294.58,297.0,1197608.0
2019-05-27,297.89,301.6,292.39,297.02,1528999.0
2019-05-28,296.0,302.96,295.36,300.59,1278614.0
2019-05-29,301.5,305.7,296.23,303.5,1369548.0
2019-05-30,300.4,304.8,296.97,302.76,1387725.0
2019-05-31,302.76,319.3,300.02,315.85,2499979.0
2019-06-03,315.0,317.75,310.85,316.22,1719990.0
2019-06-04,315.13,316.17,299.0,304.16,2790720.0
2019-06-05,306.67,307.67,291.16,292.88,3079388.0
2019-06-06,297.78,301.98,268.01,292.65,2975176.0
2019-06-10,292.93,299.99,285.02,292.88,1785724.0
2019-06-11,290.81,300.98,290.6,298.71,2244499.0
2019-06-12,297.99,298.78,293.01,296.0,1384630.0
2019-06-13,296.01,301.9,289.88,298.99,1766128.0
2019-06-14,301.8,309.94,300.0,303.95,2187885.0
2019-06-17,301.99,305.99,297.68,302.1,1243645.0
2019-06-18,301.89,302.21,297.0,301.9,980763.0
2019-06-19,308.0,311.82,306.11,307.85,1824520.0
2019-06-20,306.5,325.15,306.5,324.0,2810362.0
2019-06-21,324.09,325.7,317.2,318.61,1820856.0
2019-06-24,318.88,328.32,317.2,324.8,1383199.0
2019-06-25,323.1,327.45,318.25,327.0,1161619.0
2019-06-26,327.0,336.7,323.14,333.14,1746644.0
2019-06-27,332.8,341.4,332.15,334.55,1712480.0
2019-06-28,339.9,340.0,335.68,338.0,1155951.0
2019-07-01,343.01,354.5,341.44,350.6,1887510.0
2019-07-02,350.02,356.62,344.88,348.3,1830355.0
2019-07-03,346.11,347.88,331.66,335.8,2880325.0
2019-07-04,336.8,338.88,325.2,325.6,2155237.0
2019-07-05,328.8,346.18,327.4,343.15,3028344.0
2019-07-08,332.12,338.9,322.02,332.0,2994021.0
2019-07-09,331.19,335.87,327.66,330.15,1378865.0
2019-07-10,333.99,337.99,328.46,334.97,1295073.0
2019-07-11,334.0,337.05,328.03,331.68,1407725.0
2019-07-12,329.69,339.09,329.0,336.0,1159532.0
2019-07-15,334.95,334.95,328.81,331.38,1282027.0
2019-07-16,331.0,332.88,323.26,325.55,1973178.0
2019-07-17,324.47,330.09,324.15,326.32,1227527.0
2019-07-18,326.6,329.8,324.03,326.25,818218.0
2019-07-19,327.5,329.0,323.2,326.23,851774.0
2019-07-22,326.23,330.33,322.0,326.8,1056018.0
2019-07-23,326.66,326.66,316.0,319.94,1450226.0
2019-07-24,320.81,333.98,320.81,332.02,1820500.0
2019-07-25,331.44,334.7,327.39,329.18,1352411.0
2019-07-26,327.04,339.55,327.02,337.8,1464084.0
2019-07-29,338.9,339.63,331.3,334.69,1095484.0
2019-07-30,334.58,337.98,332.01,334.96,841314.0
2019-07-31,334.0,335.37,331.01,332.0,755350.0
2019-08-01,332.57,333.8,327.41,329.3,969761.0
2019-08-02,322.02,333.0,322.02,332.81,1482362.0
2019-08-05,331.5,331.68,324.12,325.41,1157116.0
2019-08-06,320.74,330.9,319.02,328.2,1290818.0
2019-08-07,330.5,335.56,327.21,334.48,1273282.0
2019-08-08,334.48,341.6,334.35,340.5,1571149.0
2019-08-09,343.9,351.0,341.0,344.15,1705549.0
2019-08-12,344.89,347.01,336.43,344.07,1512208.0
2019-08-13,330.0,335.0,324.3,331.01,4217836.0
2019-08-14,333.4,344.0,329.11,339.0,2578491.0
2019-08-15,336.0,338.9,330.22,333.45,1805022.0
2019-08-16,333.15,337.5,326.61,333.62,2007546.0
2019-08-19,335.9,336.6,325.99,333.5,2861836.0
2019-08-20,331.33,331.33,319.05,325.13,3830168.0
2019-08-21,322.6,331.3,322.58,327.01,1915449.0
2019-08-22,327.29,328.88,323.27,326.68,1411075.0
2019-08-23,326.7,347.5,323.0,346.3,3963989.0
2019-08-26,345.2,364.95,345.2,355.11,3375803.0
2019-08-27,356.0,359.41,351.79,353.0,1563273.0
2019-08-28,354.8,354.98,346.5,350.0,1532699.0
2019-08-29,350.53,352.22,347.23,352.0,1387551.0
2019-08-30,352.68,361.87,350.0,351.65,1624480.0
2019-09-02,350.97,356.0,346.5,352.0,1661573.0
2019-09-03,351.9,355.55,349.12,350.75,1456370.0
2019-09-04,351.99,353.78,346.78,349.88,1537010.0
2019-09-05,353.5,360.5,350.0,352.0,1967857.0
2019-09-06,354.5,359.61,348.0,359.6,1844240.0
2019-09-09,360.61,372.13,356.01,368.02,2400809.0
2019-09-10,348.14918586332624,354.76285925991306,342.8570107021477,349.5477833119995,1996735.27027027
2019-09-11,370.44,378.79,357.0,357.3,2446536.0
2019-09-12,360.0,367.89,358.66,365.47,1602100.0
2019-09-16,366.23,371.06,363.0,370.01,1226195.0
2019-09-17,371.8,378.59,370.01,374.0,1356857.0
2019-09-18,374.3,385.0,374.3,383.0,1664030.0
2019-09-19,383.81,387.5,379.18,382.31,1257660.0
2019-09-20,385.0,385.2,380.0,384.21,984986.0
2019-09-23,383.5,383.5,376.55,382.5,856847.0
2019-09-24,383.18,400.0,383.17,398.19,1567679.0
2019-09-25,398.3,399.97,394.3,394.5,953141.0
2019-09-26,395.89,406.58,389.46,395.68,1597523.0
2019-09-27,396.85,404.18,385.15,401.84,1352050.0
2019-09-29,347.240004134942,353.81734266052445,341.94375981659675,348.6180150277691,1996735.27027027
2019-09-30,400.4,404.86,392.02,394.36,1303680.0
2019-10-08,395.0,401.4,392.57,393.85,1193617.0
2019-10-09,394.02,395.0,384.77,388.0,1634141.0
2019-10-10,389.64,401.96,387.25,399.01,1956295.0
2019-10-11,399.16,402.78,397.08,401.08,1247299.0
